,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
84,Kamenskoye,RU,2020-02-23 04:12:02,53.79,39.25,32.0,74,100,5.99,overcast clouds,0.0,0.0
85,Goundam,ML,2020-02-23 04:12:02,16.41,-3.67,74.3,13,33,8.93,scattered clouds,0.0,0.0
86,Bac Giang,VN,2020-02-23 04:12:02,21.27,106.2,71.6,73,20,3.36,mist,0.0,0.0
87,Petropavlovsk-Kamchatskiy,RU,2020-02-23 04:12:02,53.05,158.65,21.2,41,0,2.19,clear sky,0.0,0.0
88,Taolanaro,RU,2020-02-23 04:12:02,53.05,158.65,21.2,41,0,2.19,clear sky,0.0,0.0
89,Genhe,CN,2020-02-23 04:12:03,50.78,121.52,10.85,84,100,2.84,light snow,0.0,0.31
90,Olafsvik,IS,2020-02-23 04:12:03,64.89,-23.71,30.76,76,94,7.76,light snow,0.0,1.06
91,Bengkulu,ID,2020-02-23 04:12:04,-3.8,102.27,87.21,55,0,2.89,clear sky,0.0,0.0
92,Chuy,UY,2020-02-23 04:12:04,-33.7,-53.46,59.22,88,0,4.97,clear sky,0.0,0.0
93,Chernigovka,RU,2020-02-23 04:12:04,44.34,132.57,19.31,72,0,3.09,clear sky,0.0,0.0
94,Vostok,RU,2020-02-23 04:12:04,46.49,135.88,15.19,88,93,6.89,overcast clouds,0.0,0.0
95,Tasiilaq,GL,2020-02-23 04:12:04,65.61,-37.64,14.0,72,0,1.12,clear sky,0.0,0.0
96,Chokurdakh,RU,2020-02-23 04:12:05,70.63,147.92,-12.05,96,100,1.39,overcast clouds,0.0,0.0
97,Pustoshka,RU,2020-02-23 04:12:05,56.34,29.37,35.71,81,81,13.2,light snow,0.0,0.19
98,Ancud,CL,2020-02-23 04:12:05,-41.87,-73.82,57.2,82,0,6.93,clear sky,0.0,0.0
99,Cape Town,ZA,2020-02-23 04:07:30,-33.93,18.42,64.0,72,0,8.05,clear sky,0.0,0.0
100,Lethem,GY,2020-02-23 04:12:05,3.38,-59.8,84.69,44,47,9.28,scattered clouds,0.0,0.0
101,Anuradhapura,LK,2020-02-23 04:12:06,8.36,80.42,79.21,77,100,10.25,overcast clouds,0.0,0.0
102,Torbay,CA,2020-02-23 04:12:06,47.67,-52.73,28.99,79,90,20.8,light shower snow,0.0,0.0
103,Zadar,HR,2020-02-23 04:12:06,44.12,15.24,39.0,49,37,2.24,scattered clouds,0.0,0.0
104,Ahuimanu,US,2020-02-23 04:12:06,21.44,-157.84,80.6,69,75,6.93,broken clouds,0.0,0.0
105,Thompson,CA,2020-02-23 04:12:06,55.74,-97.86,19.4,67,75,5.82,broken clouds,0.0,0.0
106,Nalut,LY,2020-02-23 04:12:06,30.33,10.85,43.7,88,0,9.1,clear sky,0.0,0.0
107,Faanui,PF,2020-02-23 04:08:34,-16.48,-151.75,83.26,69,51,8.03,broken clouds,0.0,0.0
108,Sebastian,US,2020-02-23 04:12:07,35.17,-94.27,48.99,49,1,3.53,clear sky,0.0,0.0
109,Bambous Virieux,MU,2020-02-23 04:12:07,-20.34,57.76,82.0,88,40,8.48,shower rain,0.0,0.0
110,Jurado,CO,2020-02-23 04:12:07,7.11,-77.76,80.67,80,92,10.38,overcast clouds,0.0,0.0
111,Geraldton,AU,2020-02-23 04:12:07,-28.77,114.6,87.8,45,40,5.82,scattered clouds,0.0,0.0
112,Sobolevo,RU,2020-02-23 04:12:08,54.43,31.9,35.4,96,100,20.22,snow,0.0,1.63
113,Castro,BR,2020-02-23 04:12:08,-24.79,-50.01,57.97,90,79,9.42,broken clouds,0.0,0.0
114,Puerto Baquerizo Moreno,EC,2020-02-23 04:12:08,-0.9,-89.6,79.23,85,92,7.81,overcast clouds,0.0,0.0
115,Pingdingshan,CN,2020-02-23 04:12:08,33.74,113.3,60.85,45,0,9.66,clear sky,0.0,0.0
116,Mataura,NZ,2020-02-23 04:12:08,-46.19,168.86,61.0,75,75,15.99,broken clouds,0.0,0.0
117,Vanimo,PG,2020-02-23 04:12:09,-2.67,141.3,82.38,80,32,13.24,scattered clouds,0.0,0.0
118,Kuche,PG,2020-02-23 04:12:09,-2.67,141.3,82.38,80,32,13.24,scattered clouds,0.0,0.0
119,Namatanai,PG,2020-02-23 04:12:09,-3.67,152.43,86.38,70,100,14.88,overcast clouds,0.0,0.0
120,Arraial Do Cabo,BR,2020-02-23 04:12:09,-22.97,-42.03,74.1,81,100,14.97,light rain,1.06,0.0
121,Kemijarvi,BR,2020-02-23 04:12:09,-22.97,-42.03,74.1,81,100,14.97,light rain,0.0,0.0
122,Hami,CN,2020-02-23 04:12:10,42.8,93.45,33.55,47,0,3.24,clear sky,0.0,0.0
123,Hilo,US,2020-02-23 04:11:35,19.73,-155.09,78.8,54,1,11.41,clear sky,0.0,0.0
124,Petatlan,MX,2020-02-23 04:12:10,17.52,-101.27,78.8,69,5,9.46,clear sky,0.0,0.0
125,Caravelas,BR,2020-02-23 04:12:10,-17.71,-39.25,81.16,84,100,15.52,overcast clouds,0.0,0.0
126,Grindavik,IS,2020-02-23 04:12:10,63.84,-22.43,32.0,60,75,16.11,light shower snow,0.0,0.0
127,Pierre,US,2020-02-23 04:12:10,44.37,-100.35,39.2,48,1,8.05,clear sky,0.0,0.0
128,Bubaque,GW,2020-02-23 04:12:11,11.28,-15.83,78.66,69,69,13.2,broken clouds,0.0,0.0
129,Coihaique,CL,2020-02-23 04:12:11,-45.58,-72.07,66.2,89,6,8.05,clear sky,0.0,0.0
130,Fort Nelson,CA,2020-02-23 04:12:11,58.81,-122.7,24.8,49,40,5.82,scattered clouds,0.0,0.0
131,Dinghai,CN,2020-02-23 04:12:11,26.28,119.79,62.6,48,0,15.66,clear sky,0.0,0.0
132,Santa Isabel Do Rio Negro,BR,2020-02-23 04:12:11,-0.41,-65.02,78.91,75,100,3.2,overcast clouds,0.0,0.0
133,Broome,US,2020-02-23 04:12:12,42.25,-75.83,30.0,92,1,4.7,clear sky,0.0,0.0
134,Pangascasan,PH,2020-02-23 04:12:12,16.12,120.09,86.09,34,27,8.79,scattered clouds,0.0,0.0
135,Vila Franca Do Campo,PT,2020-02-23 04:12:12,37.72,-25.43,57.2,82,75,4.7,broken clouds,0.0,0.0
136,Kaitangata,NZ,2020-02-23 04:12:12,-46.28,169.85,68.0,55,94,8.01,overcast clouds,0.0,0.0
137,Fort Walton Beach,US,2020-02-23 04:09:46,30.41,-86.62,46.4,93,1,4.7,clear sky,0.0,0.0
138,North Platte,US,2020-02-23 04:11:26,41.12,-100.77,34.0,32,1,3.02,clear sky,0.0,0.0
139,Sitka,US,2020-02-23 04:12:13,57.05,-135.33,35.6,71,90,9.17,light rain,0.0,0.0
140,Kargasok,RU,2020-02-23 04:12:13,59.06,80.86,-1.25,91,0,4.59,clear sky,0.0,0.0
141,Portland,US,2020-02-23 04:09:26,45.52,-122.68,48.2,70,20,3.36,few clouds,0.0,0.0
142,Laje,BR,2020-02-23 04:12:13,-10.18,-40.97,71.15,83,100,0.89,overcast clouds,0.0,0.0
143,Juneau,US,2020-02-23 04:10:17,58.3,-134.42,36.0,86,90,9.17,overcast clouds,0.0,0.0
144,Hasaki,JP,2020-02-23 04:12:14,35.73,140.83,59.0,26,20,18.34,few clouds,0.0,0.0
145,Alghero,IT,2020-02-23 04:12:14,40.56,8.32,46.0,93,0,1.12,clear sky,0.0,0.0
146,Severo-Kurilsk,RU,2020-02-23 04:12:14,50.68,156.12,18.55,85,100,12.68,overcast clouds,0.0,0.0
147,Jahrom,RU,2020-02-23 04:12:14,50.68,156.12,18.55,85,100,12.68,overcast clouds,0.0,0.0
148,Viedma,AR,2020-02-23 04:12:14,-40.81,-63.0,64.85,39,0,13.87,clear sky,0.0,0.0
149,Kavieng,PG,2020-02-23 04:12:14,-2.57,150.8,84.52,70,0,9.89,clear sky,0.0,0.0
150,Veisiejai,LT,2020-02-23 04:12:15,54.1,23.7,41.0,75,90,22.37,light intensity shower rain,0.0,0.0
151,Trelew,AR,2020-02-23 04:12:15,-43.25,-65.31,75.25,21,0,20.74,clear sky,0.0,0.0
152,Gull Lake,CA,2020-02-23 04:12:15,50.1,-108.48,30.2,86,75,12.75,broken clouds,0.0,0.0
153,Porto Murtinho,BR,2020-02-23 04:12:15,-21.7,-57.88,68.81,45,10,6.71,clear sky,0.0,0.0
154,Attawapiskat,BR,2020-02-23 04:12:15,-21.7,-57.88,68.81,45,10,6.71,clear sky,0.0,0.0
155,Lompoc,US,2020-02-23 04:12:15,34.64,-120.46,55.99,81,90,6.93,overcast clouds,0.0,0.0
156,Narsaq,GL,2020-02-23 04:12:16,60.92,-46.05,24.8,73,100,13.87,light snow,0.0,0.0
157,San Antonio,US,2020-02-23 04:09:11,29.42,-98.49,59.0,62,90,10.29,overcast clouds,0.0,0.0
158,Lira,UG,2020-02-23 04:12:16,2.23,32.91,70.97,67,37,2.01,scattered clouds,0.0,0.0
159,Catumbela,AO,2020-02-23 04:12:17,-12.43,13.55,78.71,81,100,2.82,light rain,1.5,0.0
160,Fortuna,US,2020-02-23 04:12:17,40.6,-124.16,50.0,93,90,6.93,overcast clouds,0.0,0.0
161,Belushya Guba,US,2020-02-23 04:12:17,40.6,-124.16,50.0,93,90,6.93,overcast clouds,0.0,0.0
162,Tartagal,AR,2020-02-23 04:09:19,-22.52,-63.8,64.51,53,97,1.86,overcast clouds,0.0,0.0
163,Broken Hill,AU,2020-02-23 04:12:17,-31.95,141.43,86.0,28,0,5.82,clear sky,0.0,0.0
164,Nouadhibou,MR,2020-02-23 04:12:17,20.93,-17.03,62.6,82,75,13.87,broken clouds,0.0,0.0
165,Saint-Philippe,RE,2020-02-23 04:12:18,-21.36,55.77,78.8,65,75,3.36,broken clouds,0.0,0.0
166,Nizhneyansk,RE,2020-02-23 04:12:18,-21.36,55.77,78.8,65,75,3.36,broken clouds,0.0,0.0
167,San Quintin,MX,2020-02-23 04:12:18,30.48,-115.95,57.97,75,0,7.92,light rain,0.13,0.0
168,Polis,CY,2020-02-23 04:12:18,35.04,32.43,50.0,81,40,5.82,scattered clouds,0.0,0.0
169,Upernavik,GL,2020-02-23 04:12:18,72.79,-56.15,-13.61,91,42,2.84,scattered clouds,0.0,0.0
170,Cumberland,US,2020-02-23 04:12:19,35.05,-78.87,37.4,55,1,4.72,clear sky,0.0,0.0
171,Jumla,NP,2020-02-23 04:12:19,29.27,82.18,36.75,48,41,3.11,scattered clouds,0.0,0.0
172,Kushiro,JP,2020-02-23 04:12:19,42.98,144.37,37.4,69,75,9.17,broken clouds,0.0,0.0
173,El Ejido,ES,2020-02-23 04:12:19,36.78,-2.81,55.99,46,0,10.29,clear sky,0.0,0.0
174,Hokitika,NZ,2020-02-23 04:12:19,-42.72,170.97,61.29,71,0,9.84,clear sky,0.0,0.0
175,Naze,JP,2020-02-23 04:12:19,28.37,129.48,66.2,55,40,17.22,scattered clouds,0.0,0.0
176,Kholodnyy,RU,2020-02-23 04:12:06,62.72,147.95,-14.22,93,97,3.09,overcast clouds,0.0,0.0
177,Sorvag,RU,2020-02-23 04:12:06,62.72,147.95,-14.22,93,97,3.09,overcast clouds,0.0,0.0
178,Sao Felix Do Xingu,BR,2020-02-23 04:12:20,-6.64,-51.99,73.0,96,100,0.76,light rain,0.56,0.0
179,Manyana,BW,2020-02-23 04:12:20,-23.4,21.72,71.67,75,91,1.81,light rain,0.88,0.0
180,Atasu,KZ,2020-02-23 04:12:20,48.68,71.64,7.63,93,95,7.02,overcast clouds,0.0,0.0
181,Kodiak,US,2020-02-23 04:12:21,57.79,-152.41,19.4,62,90,13.87,overcast clouds,0.0,0.0
182,Tuktoyaktuk,CA,2020-02-23 04:12:22,69.45,-133.04,1.4,84,90,3.36,light snow,0.0,0.0
183,Olinda,BR,2020-02-23 04:12:22,-8.01,-34.86,82.4,78,20,3.36,few clouds,0.0,0.0
184,Ranfurly,NZ,2020-02-23 04:12:22,-45.13,170.1,68.0,45,0,3.0,clear sky,0.0,0.0
185,Souillac,MU,2020-02-23 04:12:22,-20.52,57.52,82.0,88,40,6.49,shower rain,0.0,0.0
186,Chaihe,CN,2020-02-23 04:12:23,44.77,129.7,24.55,65,5,11.39,clear sky,0.0,0.0
187,Eyrarbakki,IS,2020-02-23 04:12:23,63.86,-21.15,32.0,92,75,6.93,shower rain,0.0,0.0
188,Andenes,NO,2020-02-23 04:12:23,69.31,16.12,35.01,73,100,18.34,light rain,0.0,0.0
189,La Ronge,CA,2020-02-23 04:12:23,55.1,-105.28,30.2,80,40,6.93,scattered clouds,0.0,0.0
190,Muros,ES,2020-02-23 04:12:23,42.78,-9.06,53.01,100,20,2.19,fog,0.0,0.0
191,Rosarito,MX,2020-02-23 04:12:23,32.33,-117.03,61.0,76,1,7.87,clear sky,0.0,0.0
192,Providencia,MX,2020-02-23 04:12:24,28.72,-111.58,66.0,90,100,1.99,overcast clouds,0.0,0.0
193,Louisbourg,MX,2020-02-23 04:12:24,28.72,-111.58,66.0,90,100,1.99,overcast clouds,0.0,0.0
194,Grants Pass,US,2020-02-23 04:12:24,42.44,-123.33,48.0,60,1,6.93,clear sky,0.0,0.0
195,Dharmadam,IN,2020-02-23 04:12:24,11.78,75.43,80.6,78,40,8.05,haze,0.0,0.0
196,Hamilton,US,2020-02-23 04:12:24,39.18,-84.53,37.4,68,1,5.55,clear sky,0.0,0.0
197,Saskylakh,RU,2020-02-23 04:12:25,71.92,114.08,5.07,95,100,9.22,light snow,0.0,0.38
198,Nanortalik,GL,2020-02-23 04:12:25,60.14,-45.24,25.9,83,100,18.19,snow,0.0,1.81
199,Tiksi,RU,2020-02-23 04:12:25,71.69,128.87,-10.32,92,98,5.93,overcast clouds,0.0,0.0
200,Salalah,OM,2020-02-23 04:12:25,17.02,54.09,69.8,77,40,5.82,scattered clouds,0.0,0.0
201,Tromso,NO,2020-02-23 04:12:25,69.65,18.96,35.6,80,75,27.51,broken clouds,0.0,0.0
202,Quatre Cocos,MU,2020-02-23 04:12:26,-20.21,57.76,82.0,88,40,8.55,shower rain,0.0,0.0
203,Gurgan,MU,2020-02-23 04:12:26,-20.21,57.76,82.0,88,40,8.55,shower rain,0.0,0.0
204,Talara,PE,2020-02-23 04:12:26,-4.58,-81.27,77.38,84,99,4.41,overcast clouds,0.0,0.0
205,Anadyr,RU,2020-02-23 04:12:26,64.75,177.48,-14.8,68,40,2.24,scattered clouds,0.0,0.0
206,Primorsk,UA,2020-02-23 04:12:26,46.73,36.34,38.52,81,87,12.33,overcast clouds,0.0,0.0
207,Vodnyy,RU,2020-02-23 04:12:27,63.5,53.41,29.66,88,100,15.03,light snow,0.0,0.13
208,Qinzhou,CN,2020-02-23 04:12:27,21.95,108.62,73.89,53,7,9.22,clear sky,0.0,0.0
209,Cururupu,BR,2020-02-23 04:12:27,-1.83,-44.87,73.8,98,94,4.81,moderate rain,8.88,0.0
210,Kiama,AU,2020-02-23 04:08:42,-34.68,150.87,77.0,57,40,11.41,scattered clouds,0.0,0.0
211,Guerrero Negro,MX,2020-02-23 04:12:27,27.98,-114.06,59.5,75,82,18.92,broken clouds,0.0,0.0
212,Sao Gabriel Da Cachoeira,BR,2020-02-23 04:12:27,-0.13,-67.09,77.74,83,99,1.88,overcast clouds,0.0,0.0
213,Saint-Ambroise,CA,2020-02-23 04:12:28,48.55,-71.33,32.0,84,20,10.29,few clouds,0.0,0.0
214,Mykhaylivka,UA,2020-02-23 04:12:28,47.27,35.22,30.2,92,6,6.71,mist,0.0,0.0
