City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Mehamn,NO,2020-02-21 23:47:02,71.04,27.85,24.8,100,38,32.21
119,Kouango,CF,2020-02-21 23:47:02,4.99,19.96,75.11,33,2,0.96
120,Saskylakh,RU,2020-02-21 23:46:52,71.92,114.08,-11.31,97,100,8.32
121,Luau,AO,2020-02-21 23:47:02,-10.71,22.22,67.75,90,94,2.77
122,Nueve De Julio,AR,2020-02-21 23:47:02,-35.44,-60.88,62.01,57,0,1.01
123,Aswan,EG,2020-02-21 23:47:03,24.09,32.91,56.01,37,17,8.41
124,Matamoros,MX,2020-02-21 23:46:24,25.53,-103.25,66.2,39,40,2.24
125,Ziro,IN,2020-02-21 23:47:03,27.63,93.83,51.51,73,92,4.29
126,Gambela,ET,2020-02-21 23:47:03,8.25,34.58,78.85,52,19,2.3
127,Carmen,MX,2020-02-21 23:42:21,18.63,-91.83,80.6,74,5,16.11
128,Ullapool,GB,2020-02-21 23:47:03,57.9,-5.16,42.01,86,100,8.01
129,Aguimes,ES,2020-02-21 23:47:04,27.91,-15.45,62.6,63,20,12.75
130,Emba,KZ,2020-02-21 23:47:04,48.83,58.14,18.21,92,100,10.25
131,Ola,RU,2020-02-21 23:47:04,59.58,151.28,-4.41,87,0,1.66
132,Adrar,MR,2020-02-21 23:47:05,20.5,-10.07,74.84,11,0,10.54
133,Coahuayana,MX,2020-02-21 23:47:05,18.73,-103.68,80.6,74,20,11.41
134,Viedma,AR,2020-02-21 23:47:05,-40.81,-63.0,52.68,74,0,4.72
135,Chimoio,MZ,2020-02-21 23:47:05,-19.12,33.48,75.2,94,20,0.54
136,Nioro,GM,2020-02-21 23:47:05,13.35,-15.75,78.01,23,98,10.38
137,Ust-Ilimsk,RU,2020-02-21 23:47:06,58.0,102.66,19.04,96,100,4.54
138,Asau,RO,2020-02-21 23:47:06,46.43,26.4,36.0,70,99,4.7
139,Bratsk,RU,2020-02-21 23:47:06,56.13,101.61,23.0,92,90,8.95
140,Tuktoyaktuk,CA,2020-02-21 23:47:06,69.45,-133.04,1.4,84,90,10.29
141,Luena,AO,2020-02-21 23:47:06,-11.78,19.92,65.5,95,97,3.91
142,Kaitangata,NZ,2020-02-21 23:47:07,-46.28,169.85,60.01,61,97,11.99
143,Simao,CN,2020-02-21 23:47:07,22.79,100.97,51.3,96,0,3.09
144,Mecca,SA,2020-02-21 23:47:07,21.43,39.83,64.76,46,0,1.92
145,Dordrecht,NL,2020-02-21 23:42:15,51.81,4.67,48.99,76,90,20.8
146,Horta,PT,2020-02-21 23:47:07,38.53,-28.63,55.78,84,45,4.85
147,Kaspi,GE,2020-02-21 23:47:07,41.93,44.43,42.8,72,40,8.05
148,Novyy Svit,UA,2020-02-21 23:47:08,47.81,38.02,33.06,98,100,7.94
149,Cockburn Town,TC,2020-02-21 23:47:08,21.46,-71.14,77.16,79,1,9.6
150,Isangel,VU,2020-02-21 23:47:08,-19.55,169.27,86.0,70,75,5.82
151,Rio Gallegos,AR,2020-02-21 23:47:08,-51.62,-69.22,64.63,56,77,7.83
152,Dikson,RU,2020-02-21 23:47:08,73.51,80.55,10.56,94,100,19.57
153,Fare,PF,2020-02-21 23:47:09,-16.7,-151.02,81.95,79,1,15.68
154,Clearlake,US,2020-02-21 23:47:09,38.96,-122.63,73.99,24,1,3.02
155,Puerto Ayora,EC,2020-02-21 23:46:55,-0.74,-90.35,82.4,74,75,5.82
156,Tiznit,MA,2020-02-21 23:47:09,29.58,-9.5,60.84,19,0,20.94
157,Hithadhoo,MV,2020-02-21 23:47:09,-0.6,73.08,82.62,78,72,8.84
158,Sur,OM,2020-02-21 23:47:09,22.57,59.53,68.76,83,58,10.38
159,Iqaluit,CA,2020-02-21 23:43:53,63.75,-68.51,-32.01,66,5,4.41
160,Grand Gaube,MU,2020-02-21 23:47:10,-20.01,57.66,77.0,73,40,4.7
161,Tabou,CI,2020-02-21 23:47:10,4.42,-7.35,77.47,92,100,3.38
162,Kapit,MY,2020-02-21 23:47:10,2.02,112.93,73.18,98,61,0.36
163,Cidreira,BR,2020-02-21 23:47:10,-30.18,-50.21,70.39,63,0,26.46
164,Orbetello,IT,2020-02-21 23:47:11,42.44,11.22,48.99,75,54,3.36
165,Port Augusta,AU,2020-02-21 23:47:11,-32.5,137.77,72.0,60,0,5.82
166,Taksimo,RU,2020-02-21 23:47:11,56.34,114.88,-8.3,94,87,0.65
167,Saint George,US,2020-02-21 23:44:53,37.1,-113.58,66.2,13,1,9.17
168,Touros,BR,2020-02-21 23:47:11,-5.2,-35.46,80.6,88,20,6.93
169,Palmer,US,2020-02-21 23:43:35,42.16,-72.33,30.2,30,1,6.93
170,Petropavlovsk-Kamchatskiy,RU,2020-02-21 23:47:12,53.05,158.65,5.0,54,30,4.47
171,Sinnamary,GF,2020-02-21 23:47:12,5.38,-52.95,78.84,82,23,10.63
172,Nishihara,JP,2020-02-21 23:47:12,26.18,127.76,64.4,88,20,2.24
173,Norman Wells,CA,2020-02-21 23:47:12,65.28,-126.83,12.2,85,90,4.7
174,Ilulissat,GL,2020-02-21 23:47:12,69.22,-51.1,-7.6,52,93,4.7
175,Hasaki,JP,2020-02-21 23:47:13,35.73,140.83,48.2,93,75,2.24
176,Sao Joao Da Barra,BR,2020-02-21 23:47:13,-21.64,-41.05,80.6,83,40,6.93
177,Fairbanks,US,2020-02-21 23:47:13,64.84,-147.72,18.0,78,75,2.13
178,Sawakin,SD,2020-02-21 23:47:13,19.11,37.33,72.93,67,61,12.24
179,College,US,2020-02-21 23:47:13,64.86,-147.8,19.4,78,75,1.21
180,Antofagasta,CL,2020-02-21 23:47:14,-23.65,-70.4,69.8,73,75,9.17
181,Nemuro,JP,2020-02-21 23:47:14,43.32,145.57,29.14,77,87,8.19
182,Carnarvon,AU,2020-02-21 23:44:50,-24.87,113.63,77.0,88,90,12.75
183,Fortuna,US,2020-02-21 23:47:14,40.6,-124.16,57.0,81,1,12.75
184,East London,ZA,2020-02-21 23:47:01,-33.02,27.91,73.44,86,30,4.34
185,Istanbul,TR,2020-02-21 23:47:14,41.04,28.98,48.0,75,75,9.17
186,Pisco,PE,2020-02-21 23:47:10,-13.7,-76.22,75.0,30,75,13.87
187,Ostrovnoy,RU,2020-02-21 23:47:16,68.05,39.51,30.58,84,100,29.17
188,Broome,US,2020-02-21 23:47:16,42.25,-75.83,28.4,53,1,4.68
