,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Djambala,CG,72.32,overcast clouds,-2.54,14.75,Auberge Chez Les Emmanuelles
357,San Vicente,AR,57.42,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
360,Kang,BW,69.44,clear sky,-23.68,22.79,Kang Ultra Stop
361,Chandbali,IN,73.4,clear sky,20.78,86.77,KABITA HOMES
362,Mercedes,AR,64.0,clear sky,-34.65,-59.43,Posada del Inti Centro
366,Lamar,US,48.0,clear sky,33.67,-95.58,Kings Inn Paris TX
367,Yatou,CN,42.71,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
369,Sakaiminato,JP,50.0,broken clouds,35.55,133.23,味処・民宿 まつや
370,Dakar,SN,69.8,overcast clouds,14.69,-17.44,Hotel Novotel Dakar
371,Yunjinghong,SN,69.8,overcast clouds,14.69,-17.44,Hotel Novotel Dakar
373,Komsomolskiy,UZ,44.6,mist,40.43,71.72,"Hotel ""Ikathouse"""
374,Chacarita,CR,71.6,overcast clouds,9.98,-84.77,Cabinas La Fuente
376,Jacareacanga,BR,73.85,overcast clouds,-6.22,-57.75,Casa do Ian😎
380,Price,US,41.0,overcast clouds,39.6,-110.81,National 9 - Price River Inn
381,Auxerre,FR,48.2,overcast clouds,47.8,3.57,Hôtel Les Maréchaux
383,Nova Aurora,BR,68.45,clear sky,-22.87,-52.57,
386,Amapa,BR,72.82,overcast clouds,1.0,-52.0,
387,Margate,GB,53.01,light rain,51.38,1.39,Premier Inn Margate hotel
389,Ewo,CG,75.06,overcast clouds,-0.87,14.82,Residence Elonda Ewo
391,Huilong,CN,57.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
392,Karkaralinsk,CN,57.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
393,Nguiu,CN,57.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
395,Moulins,FR,43.0,broken clouds,46.5,3.33,Hôtel ibis Moulins Sud
397,Samalaeulu,UA,41.05,light rain,50.6,26.67,TIR parking
400,Straja,RO,41.0,scattered clouds,47.92,25.55,
401,Tocantinopolis,RO,41.0,scattered clouds,47.92,25.55,
403,Bereda,ES,46.99,fog,43.27,-7.54,Pazo de Verdes
405,Shingu,JP,51.8,few clouds,33.73,135.98,新宮ユーアイホテル
407,Winnemucca,US,44.01,clear sky,40.97,-117.74,Winners Inn Casino
408,Coahuayana,MX,71.1,clear sky,18.73,-103.68,Hotel Los Arcos
409,Tiznit,MA,63.37,clear sky,29.58,-9.5,
410,Tumannyy,MA,63.37,clear sky,29.58,-9.5,
416,Wilmington,US,41.0,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
418,Constitucion,CL,51.35,few clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
424,Jaguey Grande,CU,68.0,broken clouds,22.53,-81.13,El Ranchon
425,Praya,CV,69.8,overcast clouds,14.92,-23.51,LT Aparthotel
426,Saint-Leu,RE,78.8,broken clouds,-21.15,55.28,La Caz Oceane
428,Faya,SA,57.2,few clouds,18.39,42.45,مقبرة ال مجمل
429,Bushehr,IR,60.8,mist,28.97,50.84,Yas Hotel
430,Vaitupu,IR,60.8,mist,28.97,50.84,Yas Hotel
431,Utiroa,IR,60.8,mist,28.97,50.84,Yas Hotel
432,Adrar,MR,78.66,overcast clouds,20.5,-10.07,
433,Ipixuna,BR,78.8,scattered clouds,-1.76,-48.8,Casa da Oscarina
436,Taranagar,IN,64.15,clear sky,28.67,75.04,Jyani Plaza
440,Rawson,AR,71.13,clear sky,-43.3,-65.1,Hotel Punta León
